BAN,BAN,Order ID ,Order ID 
BAN,147150200,Order ID ,2076283254
BAN,145790781,Order ID ,2140437387
BAN,147301906,Order ID ,2109195693
BAN,147384471,Order ID ,2142918579
BAN,147260198,Order ID ,2165258327
BAN,147312931,Order ID ,2110456461
BAN,146766243,Order ID ,2013345818
BAN,146795737,Order ID ,2022578109
BAN,147296931,Order ID ,2107688781
BAN,147274363,Order ID ,2103197066
BAN,144089275,Order ID ,2104704774
BAN,147302811,Order ID ,2015765576
BAN,145934730,Order ID ,2046882405
BAN,147328041,Order ID ,2020108304
BAN,147402622,Order ID ,2117936622
BAN,147311676,Order ID ,2102915310
BAN,147401081,Order ID ,2145126435
BAN,146502864,Order ID ,1967922314
BAN,147405202,Order ID ,2125588821
BAN,147406564,Order ID ,2125093442
BAN,147381797,Order ID ,2185470239
BAN,147405783,Order ID ,2190669215
BAN,147406899,Order ID ,2190694679
BAN,147223253,Order ID ,2015931776
BAN,147153696,Order ID ,2146619183
BAN,147324650,Order ID ,2133129483
BAN,147408214,Order ID ,2033586680
BAN,147404293,Order ID ,2190833951
BAN,147400533,Order ID ,2126285397
BAN,147329358,Order ID ,2020138352
BAN,147327704,Order ID ,2112738309
BAN,147406186,Order ID ,2191125311
BAN,147404663,Order ID ,2126043386
BAN,146855881,Order ID ,2058055851
BAN,147415081,Order ID ,2147147499
BAN,147412384,Order ID ,2191450799
BAN,147416167,Order ID ,2126693666
BAN,142086538,Order ID ,2037615314
BAN,143784793,Order ID ,2080834679
BAN,146648777,Order ID ,2115030075
BAN,147232854,Order ID ,2089295238
BAN,147063045,Order ID ,2130217346
BAN,147436687,Order ID ,2195663495
BAN,147440389,Order ID ,2195588327
BAN,147436814,Order ID ,2038772216
BAN,147248638,Order ID ,2097135314
BAN,147151183,Order ID ,2146481495
BAN,147458385,Order ID ,2198389343
BAN,147458390,Order ID ,2198611943
BAN,146682894,Order ID ,2066554799
BAN,147383040,Order ID ,2120234354
BAN,146771783,Order ID ,2081454791
BAN,145756119,Order ID ,2042332424
BAN,145345852,Order ID ,2154851523
BAN,140566090,Order ID ,2203122431
BAN,147213001,Order ID ,1792260649
BAN,146585914,Order ID ,2038923512
BAN,147338550,Order ID ,2135625987
BAN,147441373,Order ID ,2151954363
BAN,147407635,Order ID ,2126129709
BAN,147501311,Order ID ,2049039104
BAN,147271308,Order ID ,2103150453
BAN,147331485,Order ID ,2177943143
BAN,147300049,Order ID ,2015299808
BAN,147376403,Order ID ,2119887957
BAN,147492561,Order ID ,2159032491
BAN,147316258,Order ID ,2017765520
BAN,146829014,Order ID ,1933964144
BAN,146923838,Order ID ,2039225162
BAN,147471549,Order ID ,2043555512
BAN,147493111,Order ID ,2047080944
BAN,147299844,Order ID ,2106743234
BAN,147384807,Order ID ,2121163773
BAN,147429752,Order ID ,2149543827
BAN,147434581,Order ID ,2150864451
BAN,147430998,Order ID ,2194827407
BAN,146743502,Order ID ,2013444477
BAN,146752620,Order ID ,1920672608
BAN,146738995,Order ID ,2074945967
BAN,147003396,Order ID ,2120059079
BAN,147442948,Order ID ,2039113592
BAN,146926124,Order ID ,2137443366
BAN,146926122,Order ID ,2137485006
BAN,146927167,Order ID ,2145542978
BAN,147473024,Order ID ,2128165278
BAN,144390340,Order ID ,#FPS101540
BAN,146950008,Order ID ,1800469465
BAN,147470179,Order ID ,2156132979
BAN,147376668,Order ID ,2119480274
BAN,147081451,Order ID ,2095143867
BAN,147458062,Order ID ,2153947131
BAN,147477203,Order ID ,1790449609
BAN,146737833,Order ID ,2130498381
